date,open,high,low,close,volume,average,barCount
2021-04-01,238.52,242.64,238.05,242.35,20390229.0,241.23,117959
2021-04-05,242.79,249.96,242.7,249.07,25583958.0,248.188,139705
2021-04-06,247.62,249.4,246.88,247.86,14405942.0,248.274,83762
2021-04-07,247.81,250.93,247.19,249.9,14838777.0,249.754,84961
2021-04-08,252.85,254.14,252.0,253.25,14874355.0,253.025,85000
2021-04-09,252.86,255.99,252.44,255.85,15180379.0,254.471,88198
2021-04-12,254.71,257.67,254.62,255.91,15473768.0,256.189,89118
2021-04-13,257.25,259.19,256.83,258.49,14060539.0,257.882,77583
2021-04-14,257.22,258.83,255.16,255.59,13457123.0,256.722,85480
2021-04-15,257.85,259.93,257.73,259.5,13985688.0,259.005,82708
2021-04-16,259.43,261.0,257.6,260.74,14898711.0,259.874,74348
2021-04-19,260.19,261.48,257.82,258.74,12457906.0,259.184,73718
2021-04-20,257.99,260.2,256.84,258.26,11703918.0,258.27,67903
2021-04-21,258.86,260.68,257.25,260.58,13721103.0,259.309,72669
2021-04-22,260.21,261.78,255.64,257.17,15893974.0,258.601,92217
2021-04-23,257.79,261.51,257.27,261.15,12662045.0,260.214,77260
2021-04-26,261.65,262.44,260.17,261.55,11925835.0,261.355,66997
2021-04-27,261.5,263.19,260.12,261.97,15841696.0,261.479,89274
2021-04-28,256.29,256.54,252.96,254.56,32381377.0,254.478,174549
2021-04-29,255.5,256.1,249.0,252.51,27937601.0,251.771,146587
2021-04-30,249.74,253.08,249.6,252.18,18490736.0,251.516,105211
2021-05-03,253.39,254.35,251.12,251.86,11667392.0,252.473,66794
2021-05-04,250.97,251.21,245.76,247.79,17579325.0,247.486,100635
2021-05-05,248.98,249.5,245.82,246.47,10965244.0,247.73,63759
2021-05-06,246.46,249.86,244.69,249.73,16069528.0,247.257,88676
2021-05-07,252.15,254.3,251.17,252.46,14589410.0,252.943,90539
2021-05-10,250.87,251.73,247.12,247.18,14928191.0,249.392,87769
2021-05-11,244.4,246.6,242.57,246.23,19598746.0,245.13,120680
