date,open,high,low,close,volume,average,barCount
2021-04-01,0.2201318,0.23508559,0.20608286,0.20751157,1.0,0.2350855869933331,0
2021-04-05,0.20193961,0.22117952,0.20193961,0.2114167,1.0,0.2211795181023777,0
2021-04-06,0.20881328,0.27872461,0.1983361,0.20211423,1.0,0.2787246091180325,0
2021-04-07,0.19971718,0.20098714,0.189621,0.19055759,1.0,0.2009871440963327,0
2021-04-08,0.19227204,0.20509864,0.18931938,0.19181168,1.0,0.2050986416337271,0
2021-04-09,0.19816148,0.25196019,0.18423954,0.18617623,1.0,0.2519601888553031,0
2021-04-12,0.19085921,0.21587743,0.18584286,0.18604923,1.0,0.2158774324750042,0
2021-04-13,0.18670009,0.2014475,0.18670009,0.18946225,1.0,0.2014475048244579,0
2021-04-14,0.19035122,0.21809986,0.18266796,0.18525551,1.0,0.2180998635762985,0
2021-04-15,0.18692233,0.19271653,0.17982643,0.18028679,1.0,0.1927165254979448,0
2021-04-16,0.18014392,0.1870652,0.16904763,0.17028585,1.0,0.1870652006975108,0
2021-04-19,0.16893651,0.18252509,0.16893651,0.18047728,1.0,0.182525091447724,0
2021-04-20,0.17988992,0.197717,0.17988992,0.19274827,1.0,0.1977169954758569,0
2021-04-21,0.19465322,0.19719314,0.17604829,0.17833422,1.0,0.1971931367162661,0
2021-04-22,0.17801673,0.18892252,0.16992073,0.18485864,1.0,0.1889225181178782,0
2021-04-23,0.18995436,0.18995436,0.1718098,0.1772865,1.0,0.1899543611291934,0
2021-04-26,0.1791597,0.1919228,0.17374649,0.17523869,1.0,0.1919228001046254,0
2021-04-27,0.17671502,0.18568412,0.17396873,0.17479421,1.0,0.1856841185131351,0
2021-04-28,0.17677852,0.2176395,0.17009535,0.17079383,1.0,0.2176395028481732,0
2021-04-29,0.17546094,0.18906539,0.16953974,0.17169868,1.0,0.1890653886886756,0
2021-04-30,0.17350837,0.24334033,0.17350837,0.17844534,1.0,0.2433403310838547,0
2021-05-03,0.19793924,0.19793924,0.17631816,0.18162024,1.0,0.1979392385859863,0
2021-05-04,0.21665528,0.21665528,0.19295464,0.19295464,1.0,0.2166552833604572,0
2021-05-05,0.19705027,0.21263903,0.18411254,0.18541425,1.0,0.2126390328702612,0
2021-05-06,0.18506501,0.19822498,0.18238222,0.18560475,1.0,0.1982249797275813,0
2021-05-07,0.18703345,0.19392299,0.17263527,0.17320676,1.0,0.1939229880957902,0
2021-05-10,0.17309563,0.20193961,0.17309563,0.19344675,1.0,0.2019396145683159,0
2021-05-11,0.24624537,0.24624537,0.20311433,0.20855928,1.0,0.2462453660234036,0
2021-05-12,0.21475034,0.24175288,0.21194055,0.24075279,1.0,0.2417528802972159,0
2021-05-13,0.23916534,0.23916534,0.21175006,0.21482971,1.0,0.2391653355149947,0
2021-05-14,0.22163988,0.22163988,0.18828754,0.19320864,1.0,0.2216398788305029,0
2021-05-17,0.19514533,0.20762269,0.19514533,0.2007014,1.0,0.2076226883844827,0
2021-05-18,0.19912983,0.20503514,0.19378012,0.20316195,1.0,0.2050351436022615,0
2021-05-19,0.20635273,0.23519671,0.20635273,0.21517895,1.0,0.2351967085483979,0
2021-05-20,0.21968731,0.21968731,0.20043154,0.205686,1.0,0.2196873143629372,0
2021-05-21,0.20878153,0.20878153,0.18884315,0.19485958,1.0,0.208781527458729,0
2021-05-24,0.19743125,0.19781224,0.18346169,0.18403317,1.0,0.1978122425230552,0
2021-05-25,0.18628735,0.18752556,0.17757224,0.18573174,1.0,0.1875255614256361,0
2021-05-26,0.19670103,0.19670103,0.17541331,0.17582605,1.0,0.1967010269724081,0
2021-05-27,0.17811198,0.18257271,0.17250828,0.17560381,1.0,0.1825727149713231,0
2021-05-28,0.17854059,0.18560475,0.16812691,0.1702541,1.0,0.1856047459738032,0
